鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
松山區,房地(土地+建物),民生東路三段１１３巷６弄１號六樓,25.62,住,,,1130202,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,681217.0,165.43,3,2,2,有,有,32800000,198271.0,,0.0,0,,RPROMLPKKHJGFDA67DA,113.46,31.77,17.35,有,,44.0
內湖區,房地(土地+建物),金龍路２２２巷４號十一樓,31.96,住,,,1130202,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,821213.0,101.89,3,2,2,有,有,19080000,187261.0,,0.0,0,陽台外推；,RPSNMLTKKHJGFCA97DA,72.69,0.0,12.94,有,6.0,30.0
大安區,房地(土地+建物),溫州街７４巷３弄２號六樓之４,10.53,住,,,1130206,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,680418.0,37.56,2,1,1,有,有,12680000,337593.0,,0.0,0,陽台外推；,RPQNMLKLKHJGFFA37EA,31.82,0.0,5.74,有,12.0,45.0
中正區,房地(土地+建物),連雲街７７號二樓,20.9,住,,,1130203,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,740202.0,81.46,3,2,1,有,無,23300000,286030.0,,0.0,0,陽台外推；,RPRNMLLLKHJGFBA07DA,66.75,0.0,11.57,無,,39.0
文山區,房地(土地+建物)+車位,汀州路四段２０３號五樓,12.2,住,,,1130202,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,991105.0,63.25,3,2,2,有,有,12000000,189723.0,坡道平面,0.0,0,車位定期抽籤,RPUNMLMLKHJGFAA37DA,34.3,0.0,3.92,有,,13.0
信義區,房地(土地+建物),虎林街１２０巷１４號,59.0,住,,,1130220,土地1建物1車位0,全,二層,透天厝,住家用,561120.0,92.88,2,2,2,有,無,30490000,328273.0,,0.0,0,1、2樓格局各為1房1廳1衛,RPSNMLNLKHJGFDA57DA,92.88,0.0,0.0,無,33.0,56.0
萬華區,房地(土地+建物),青年路１０６巷３０弄２８號三樓,11.76,住,,,1130217,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,640403.0,31.18,1,1,1,有,無,5000000,160359.0,,0.0,0,,RPTNMLNLKHJGFBA57EA,31.18,0.0,0.0,無,,49.0
信義區,房地(土地+建物)+車位,松仁路３０８巷９３號,15.45,住,,,1130214,土地1建物2車位1,一層,九層,華廈(10層含以下有電梯),住家用,1030418.0,152.82,1,1,1,有,有,44380000,290407.0,塔式車位,7.29,0,,RPPPMLPLKHJGFDA67DA,39.1,2.41,5.97,有,,10.0
信義區,房地(土地+建物),松仁路２５３巷３弄５號四樓,34.75,住,,,1130216,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,571224.0,101.35,3,2,2,有,無,19500000,192403.0,,0.0,0,頂樓加蓋；,RPQNMLRLKHJGFDA87EA,101.35,0.0,0.0,無,,55.0
中正區,房地(土地+建物),仁愛路二段９巷１７號四樓之６,8.79,住,,,1130205,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,971114.0,42.77,1,1,1,有,有,17000000,397475.0,,0.0,0,夾層；,RPROMLLJLHJGFBA07DA,19.35,4.36,0.0,有,45.0,15.0
