鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
中山區,房地(土地+建物),市民大道三段１６９號十三樓之３,8.81,住,,,1120201,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,970602.0,68.81,2,1,1,有,有,13200000,191833.0,,0.0,0,,RPOOMLSJKHIGFCA47EA,24.54,1.86,3.41,有,3.0,15.0
信義區,房地(土地+建物),吳興街２８４巷２０號四樓,39.25,住,,,1120201,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,630604.0,94.63,3,2,2,有,無,17500000,184931.0,,0.0,0,,RPPNMLKKKHIGFDA76DA,94.63,0.0,0.0,無,11.0,49.0
大安區,房地(土地+建物),和平東路三段３４６巷２１號三樓,16.12,住,,,1120208,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,,45.67,2,1,1,有,無,6500000,142325.0,,0.0,0,,RPPNMLOKKHIGFFA47EA,45.67,0.0,0.0,無,,
士林區,房地(土地+建物),延平北路八段２巷５５弄２０號二樓,29.67,住,,,1120203,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,510630.0,69.98,2,1,1,無,無,7800000,111460.0,,0.0,0,,RPPNMLPKKHIGFEA47EA,69.98,0.0,0.0,無,15.0,61.0
北投區,房地(土地+建物),文化三路７１號五樓,31.71,住,,,1120204,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,741127.0,117.31,3,2,2,有,有,16000000,136391.0,,0.0,0,其他增建；,RPSNMLSJKHIGFEA87DA,73.37,0.0,15.55,有,,37.0
中山區,房地(土地+建物),建國北路三段８０巷１號八樓,19.31,住,,,1120203,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,770104.0,135.93,3,2,2,有,有,25800000,189804.0,,0.0,0,,RPRNMLRKKHIGFCA67EA,118.56,1.11,10.69,有,,35.0
內湖區,房地(土地+建物),星雲街１６８巷４３號七樓之２,10.72,住,,,1120202,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,860124.0,60.19,2,1,1,有,有,14000000,232597.0,,0.0,0,陽台外推；夾層；其他增建；,RPSNMLPKKHIGFCA47DA,33.46,3.81,4.52,有,43.0,26.0
萬華區,房地(土地+建物),雙園街６７巷３弄１號四樓,13.38,住,,,1120210,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,600821.0,40.16,3,1,1,有,無,4400000,109562.0,,0.0,0,,RPVNMLSKKHIGFBA97DA,40.16,0.0,0.0,無,,51.0
大安區,房地(土地+建物),仁愛路四段２６６巷１５弄２０號六樓,23.31,住,,,1120202,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,690920.0,129.70000000000002,3,2,2,有,有,37000000,285274.0,,0.0,0,陽台外推；其他增建；,RPRNMLTJKHIGFFA97DA,102.09,0.0,20.25,有,,42.0
內湖區,房地(土地+建物)+車位,新明路３１２巷２之６號,34.87,住,,,1120208,土地1建物1車位6,一層，地下一層,六層,華廈(10層含以下有電梯),住家用,1030108.0,290.17,3,2,2,有,無,31980000,110211.0,升降平面,134.73,0,,RPROMLRKKHIGFCA67DA,72.42,6.21,7.55,有,45.0,9.0
大安區,房地(土地+建物),和平東路三段４１６巷５號七樓,48.67,住,,,1120202,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,750609.0,139.25,3,2,2,有,有,26500000,190305.0,,0.0,0,,RPWNMLSKKHIGFFA48DA,101.68,0.0,18.07,有,,37.0
萬華區,房地(土地+建物),雙園街６７巷３弄１號三樓,13.38,住,,,1120210,土地1建物1車位0,三層，露台,四層,公寓(5樓含以下無電梯),住家用,600821.0,40.16,3,1,1,有,無,4400000,109562.0,,0.0,0,,RPOOMLSKKHIGFBA37DA,40.16,0.0,0.0,無,,51.0
萬華區,建物,西昌街２９巷５號二樓,0.0,,,,1120207,土地0建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,600707.0,48.08,2,1,1,有,無,1700000,35358.0,,0.0,0,僅建物交易無土地,RPRNMLLLKHIGFBA96DA,48.08,0.0,0.0,無,,52.0
中正區,房地(土地+建物)+車位,濟南路二段１５號五樓之５,10.21,住,,,1120209,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,960129.0,65.97,2,1,1,無,有,15500000,283554.0,坡道機械,18.36,2000000,陽台外推；,RPRPMLOKKHIGFBA37DA,25.29,3.74,2.05,有,,16.0
文山區,房地(土地+建物),木柵路二段１１５號,30.33,住,,,1120204,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,,76.8,0,1,1,無,無,26600000,346354.0,,0.0,0,,RPPNMLLLKHIGFAA76EA,76.8,0.0,0.0,無,,
文山區,房地(土地+建物)+車位,興隆路四段２之５號十三樓,39.71,住,,,1120203,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,1060112.0,288.6,3,2,3,有,有,45180000,156549.0,升降機械,27.89,0,,RPQNMLQJKHIGFAA07DA,141.51,10.79,18.67,有,,6.0
內湖區,房地(土地+建物)+車位,民權東路六段４２５號十樓,60.76,住,,,1120203,土地2建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,970916.0,338.22,5,2,2,有,有,83000000,264442.0,坡道平面,45.15,5500000,,RPQNMLLLKHIGFCA96DA,177.16,12.43,17.34,有,,14.0
內湖區,房地(土地+建物)+車位,民權東路六段１２３巷２７號二樓,32.7,住,,,1120212,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,980729.0,97.15,2,2,1,有,有,21500000,239378.0,坡道機械,13.6,1500000,,RPWOMLLLKHIGFCA67DA,54.58,4.97,4.42,有,,14.0
內湖區,房地(土地+建物),安泰街１２９巷５號三樓,22.81,住,,,1120203,土地4建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,700515.0,100.14,3,2,1,有,無,12000000,119832.0,,0.0,0,,RPPPMLLJJIHGFCA86EA,71.59,0.0,10.85,無,,42.0
北投區,房地(土地+建物)+車位,天母西路１１７巷６３號二樓之２,16.12,住,,,1120205,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,870612.0,55.39,2,1,1,無,有,11380000,205452.0,升降機械,0.0,0,陽台外推；夾層；其他增建；,RPSNMLMLKHIGFEA47DA,25.73,0.0,3.28,有,69.0,25.0
信義區,房地(土地+建物),福德街１３７巷７號四樓,35.0,住,,,1120201,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,620523.0,93.41,3,2,1,無,無,19000000,203404.0,,0.0,0,頂樓加蓋；,RPUNMLLLKHIGFDA47DA,93.41,0.0,0.0,無,,50.0
北投區,房地(土地+建物),奇岩路３７巷２號二樓,16.53,住,,,1120206,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,740913.0,59.09,0,0,0,有,有,5000000,84617.0,,0.0,0,買賣雙方特別約定:買賣土地移轉所產生之土地增值稅及其他稅費由買方負擔繳納。,RPSNMLOLKHIGFEA67DA,46.1,0.0,2.77,有,,37.0
大安區,房地(土地+建物),瑞安街２０６號七樓,11.36,住,,,1120207,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,670417.0,79.78,3,2,1,有,無,22500000,282026.0,,0.0,0,頂樓加蓋；其他增建；,RPTNMLMLKHIGFFA67DA,66.03,0.0,6.05,有,,45.0
內湖區,房地(土地+建物),江南街７１巷６５弄９號七樓,39.17,住,,,1120202,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,730131.0,104.25,3,2,1,有,有,15500000,148681.0,,0.0,0,,RPRNMLLLKHIGFCA07DA,70.31,0.0,7.13,有,80.0,39.0
內湖區,房地(土地+建物)+車位,新豐街５８號十三樓,67.62,住,,,1120206,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,990505.0,326.99,3,2,3,有,有,67980000,207896.0,坡道平面,56.58,0,,RPWOMLRJKHIGFCA08DA,159.88,12.71,12.99,有,,13.0
